invoice_id,project_id,customer_id,invoice_date,due_date,amount,status,invoice_type
F50001,P-1001,C101,2025-02-26,2025-03-28,914600.0,Betald,Delfaktura
F50002,P-1001,C101,2025-02-27,2025-03-29,1102200.0,Betald,Delfaktura
F50003,P-1001,C101,2025-04-03,2025-05-03,1097900.0,Betald,Delfaktura
F50009,P-1003,C103,2025-04-10,2025-05-10,1163400.0,Betald,Delfaktura
F50010,P-1003,C103,2025-04-17,2025-05-17,888500.0,Betald,Delfaktura
F50013,P-1004,C104,2025-04-28,2025-05-28,1833300.0,Betald,Delfaktura
F50005,P-1002,C102,2025-05-01,2025-05-31,627900.0,Betald,Delfaktura
F50014,P-1004,C104,2025-05-05,2025-06-04,2057100.0,Betald,Delfaktura
F50004,P-1001,C101,2025-05-26,2025-06-25,1085300.0,Betald,Delfaktura
F50011,P-1003,C103,2025-06-12,2025-07-12,954200.0,Betald,Delfaktura
F50015,P-1004,C104,2025-06-26,2025-07-26,1520200.0,Betald,Delfaktura
F50017,P-1005,C105,2025-06-26,2025-07-26,779000.0,Betald,Delfaktura
F50018,P-1005,C105,2025-07-15,2025-08-14,739900.0,Betald,Delfaktura
F50006,P-1002,C102,2025-07-22,2025-08-21,684400.0,Betald,Delfaktura
F50007,P-1002,C102,2025-07-28,2025-08-27,689100.0,Betald,Delfaktura
F50008,P-1002,C102,2025-07-31,2025-08-30,807700.0,Betald,Delfaktura
F50016,P-1004,C104,2025-09-19,2025-10-19,1565400.0,Betald,Delfaktura
F50025,P-1007,C107,2025-09-29,2025-10-29,1088000.0,Betald,Delfaktura
F50012,P-1003,C103,2025-10-09,2025-11-08,793900.0,Betald,Delfaktura
F50019,P-1005,C105,2025-10-17,2025-11-16,644000.0,Betald,Delfaktura
F50020,P-1005,C105,2025-10-28,2025-11-27,787100.0,Betald,Delfaktura
F50026,P-1007,C107,2025-11-24,2025-12-24,1374000.0,Betald,Delfaktura
F50029,P-1008,C108,2025-11-27,2025-12-27,363500.0,Betald,Delfaktura
F50027,P-1007,C107,2025-11-28,2025-12-28,1199700.0,Betald,Delfaktura
F50030,P-1008,C108,2025-12-08,2026-01-07,315800.0,Betald,Delfaktura
F50021,P-1006,C106,2025-12-09,2026-01-08,253800.0,Betald,Delfaktura
F50022,P-1006,C106,2025-12-26,2026-01-25,257200.0,Betald,Delfaktura
F50023,P-1006,C106,2025-12-30,2026-01-29,252100.0,Betald,Delfaktura
F50028,P-1007,C107,2025-12-30,2026-01-29,1438300.0,Betald,Delfaktura
F50024,P-1006,C106,2026-01-16,2026-02-15,236500.0,Betald,Delfaktura
F50031,P-1008,C108,2026-02-05,2026-03-07,388100.0,Betald,Delfaktura
F50043,P-1006,C106,2026-02-10,2026-03-12,-257200.0,Betald,Kreditfaktura
F50032,P-1008,C108,2026-03-03,2026-04-02,426100.0,Betald,Delfaktura
F50037,P-1010,C101,2026-03-24,2026-04-23,429800.0,Betald,Delfaktura
F50033,P-1009,C105,2026-03-27,2026-04-26,712200.0,Betald,Delfaktura
F50038,P-1010,C101,2026-04-10,2026-05-10,560200.0,Betald,Delfaktura
F50034,P-1009,C105,2026-04-15,2026-05-15,768200.0,Betald,Delfaktura
F50044,P-1011,C103,2026-04-15,2026-05-15,210000,Betald,Delfaktura
F50039,P-1011,C103,2026-04-20,2026-05-20,239400.0,Betald,Delfaktura
F50035,P-1009,C105,2026-04-21,2026-05-21,811400.0,Betald,Delfaktura
F50036,P-1009,C105,2026-05-13,2026-06-12,808100.0,Betald,Delfaktura
F50041,P-1012,C107,2026-06-11,2026-07-11,526800.0,Betald,Delfaktura
F50045,P-1011,C103,2026-07-10,2026-08-09,165000,Obetald,Delfaktura
F50042,P-1012,C107,2026-07-13,2026-08-12,623200.0,Obetald,Delfaktura
F50040,P-1011,C103,2026-07-17,2026-08-16,210600.0,Obetald,Delfaktura
