cost_id,project_id,cost_date,cost_type,supplier,amount,voucher_no,is_reversed
K90008,P-1001,2025-01-17,Maskinhyra,Cramo,60480.0,V2025-0008,false
K90001,P-1001,2025-01-20,Material,Beijer Byggmaterial,441820.0,V2025-0001,false
K90012,P-1001,2025-02-03,Övrigt,Byggsäkerhet AB,53060.0,V2025-0012,false
K90009,P-1001,2025-02-05,Maskinhyra,Ramirent,88420.0,V2025-0009,false
K90024,P-1002,2025-02-05,Övrigt,Renova,55530.0,V2025-0024,false
K90013,P-1001,2025-02-17,Övrigt,Securitas,73390.0,V2025-0013,false
K90010,P-1001,2025-02-21,Maskinhyra,Cramo,93120.0,V2025-0010,false
K90005,P-1001,2025-02-25,Underentreprenör,VVS Väst AB,451630.0,V2025-0005,false
K90016,P-1002,2025-02-28,Material,Optimera,592780.0,V2025-0016,false
K90002,P-1001,2025-03-03,Material,Optimera,429740.0,V2025-0002,false
K90006,P-1001,2025-03-18,Underentreprenör,Målericentrum AB,247540.0,V2025-0006,false
K90020,P-1002,2025-03-18,Maskinhyra,Ramirent,80750.0,V2025-0020,false
K90003,P-1001,2025-03-25,Material,Ahlsell,324350.0,V2025-0003,false
K90011,P-1001,2025-03-25,Maskinhyra,Cramo,91270.0,V2025-0011,false
K90025,P-1002,2025-03-27,Övrigt,Renova,33420.0,V2025-0025,false
K90026,P-1002,2025-04-16,Övrigt,Securitas,34800.0,V2025-0026,false
K90034,P-1003,2025-04-16,Maskinhyra,Cramo,91310.0,V2025-0034,false
K90018,P-1002,2025-04-21,Underentreprenör,Golvteam Göteborg,458200.0,V2025-0018,false
K90041,P-1004,2025-04-25,Material,Ahlsell,1229710.0,V2025-0041,false
K90014,P-1001,2025-04-28,Övrigt,Securitas,50240.0,V2025-0014,false
K90021,P-1002,2025-05-06,Maskinhyra,Hyrmaskiner Väst,53220.0,V2025-0021,false
K90007,P-1001,2025-05-08,Underentreprenör,VVS Väst AB,234030.0,V2025-0007,false
K90004,P-1001,2025-05-13,Material,Optimera,637160.0,V2025-0004,false
K90022,P-1002,2025-05-13,Maskinhyra,Hyrmaskiner Väst,72000.0,V2025-0022,false
K90038,P-1003,2025-05-13,Övrigt,Renova,48190.0,V2025-0038,false
K90015,P-1001,2025-05-26,Övrigt,Renova,56610.0,V2025-0015,false
K90053,P-1005,2025-05-30,Material,Beijer Byggmaterial,639400.0,V2025-0050,false
K90023,P-1002,2025-06-06,Maskinhyra,Cramo,47670.0,V2025-0023,false
K90019,P-1002,2025-06-12,Underentreprenör,Målericentrum AB,251990.0,V2025-0019,false
K90028,P-1003,2025-06-17,Material,Optimera,472110.0,V2025-0028,false
K90039,P-1003,2025-06-23,Övrigt,Renova,80360.0,V2025-0039,false
K90056,P-1005,2025-06-26,Underentreprenör,Målericentrum AB,197900.0,V2025-0053,false
K90059,P-1005,2025-06-27,Maskinhyra,Cramo,44090.0,V2025-0056,false
K90017,P-1002,2025-07-17,Material,Optimera,802240.0,V2025-0017,false
K90064,P-1005,2025-07-22,Övrigt,Renova,28980.0,V2025-0061,false
K90040,P-1003,2025-07-30,Övrigt,Renova,65890.0,V2025-0040,false
K90050,P-1004,2025-07-30,Övrigt,Securitas,151910.0,V2025-0049,false
K90054,P-1005,2025-08-01,Material,Ahlsell,337590.0,V2025-0051,false
K90060,P-1005,2025-08-01,Maskinhyra,Hyrmaskiner Väst,32250.0,V2025-0057,false
K90061,P-1005,2025-08-04,Maskinhyra,Hyrmaskiner Väst,36380.0,V2025-0058,false
K90042,P-1004,2025-08-08,Material,Optimera,976990.0,V2025-0042,false
K90035,P-1003,2025-08-11,Maskinhyra,Ramirent,74550.0,V2025-0035,false
K90055,P-1005,2025-08-13,Material,Woody Bygghandel,354110.0,V2025-0052,false
K90027,P-1002,2025-08-14,Övrigt,Renova,53790.0,V2025-0027,false
K90036,P-1003,2025-08-18,Maskinhyra,Cramo,62920.0,V2025-0036,false
K90031,P-1003,2025-08-25,Underentreprenör,VVS Väst AB,245820.0,V2025-0031,false
K90044,P-1004,2025-09-05,Underentreprenör,Målericentrum AB,540170.0,V2025-0043,false
K90047,P-1004,2025-09-08,Maskinhyra,Ramirent,202160.0,V2025-0046,false
K90077,P-1007,2025-09-08,Material,Optimera,997650.0,V2025-0073,false
K90045,P-1004,2025-09-11,Underentreprenör,Målericentrum AB,594070.0,V2025-0044,false
K90070,P-1006,2025-09-11,Underentreprenör,Målericentrum AB,109110.0,V2025-0067,false
K90065,P-1005,2025-09-12,Övrigt,Securitas,36030.0,V2025-0062,false
K90072,P-1006,2025-09-12,Maskinhyra,Hyrmaskiner Väst,40970.0,V2025-0069,false
K90029,P-1003,2025-09-16,Material,Beijer Byggmaterial,360280.0,V2025-0029,false
K90068,P-1006,2025-09-17,Material,Ahlsell,407740.0,V2025-0065,false
K90048,P-1004,2025-09-22,Maskinhyra,Cramo,217380.0,V2025-0047,false
K90066,P-1005,2025-09-23,Övrigt,Renova,52290.0,V2025-0063,false
K90032,P-1003,2025-09-24,Underentreprenör,Golvteam Göteborg,269070.0,V2025-0032,false
K90037,P-1003,2025-09-24,Maskinhyra,Cramo,48990.0,V2025-0037,false
