timesheet_id,project_id,employee_id,work_date,hours,activity,is_billable
T70001,P-1001,E01,2025-01-13,9,Besiktning,true
T70002,P-1001,E03,2025-01-13,8,Inredning,true
T70003,P-1001,E06,2025-01-13,7,El,true
T70004,P-1001,E02,2025-01-15,10,Besiktning,true
T70005,P-1001,E01,2025-01-16,6,Besiktning,true
T70006,P-1001,E02,2025-01-16,10,Stomme,true
T70007,P-1001,E05,2025-01-16,4,El,true
T70008,P-1001,E02,2025-01-20,8,Projektledning,true
T70009,P-1001,E05,2025-01-20,8,El,true
T70010,P-1001,E06,2025-01-22,4,El,true
T70011,P-1001,E01,2025-01-24,6,Besiktning,true
T70012,P-1001,E01,2025-01-27,6,Besiktning,true
T70013,P-1001,E05,2025-01-28,10,El,true
T70014,P-1001,E01,2025-01-29,6,Projektledning,true
T70015,P-1001,E01,2025-01-30,8,Projektledning,true
T70016,P-1001,E06,2025-01-30,7,El,true
T70017,P-1001,E02,2025-01-31,8,Stomme,true
T70018,P-1001,E05,2025-01-31,10,El,true
T70019,P-1001,E02,2025-02-03,6,Stomme,true
T70020,P-1001,E01,2025-02-04,8,Besiktning,true
T70021,P-1001,E06,2025-02-04,6,El,true
T70022,P-1001,E02,2025-02-05,7,Stomme,true
T70023,P-1001,E05,2025-02-05,6,El,true
T70024,P-1001,E03,2025-02-06,4,Inredning,true
T70025,P-1001,E02,2025-02-07,4,Stomme,true
T70026,P-1001,E05,2025-02-10,7,El,true
T70027,P-1001,E01,2025-02-11,8,Besiktning,true
T70028,P-1001,E03,2025-02-11,10,Rivning,true
T70029,P-1001,E05,2025-02-11,6,El,true
T70030,P-1001,E03,2025-02-13,10,Rivning,true
T70031,P-1001,E05,2025-02-13,8,El,true
T70032,P-1001,E01,2025-02-14,4,Projektledning,true
T70033,P-1001,E06,2025-02-14,9,El,true
T70034,P-1001,E01,2025-02-17,8,Projektledning,true
T70035,P-1001,E03,2025-02-17,10,Stomme,true
T70036,P-1001,E02,2025-02-18,9,Projektledning,true
